"file_id","truth_label","claim","topic","political_affiliation"
"8337.json","true","Many state and federal agencies have such navigators involved in helping folks maneuver through the often complex processes associated with filing benefits claims, for example -- even buying health insurance.","health-care","democrat"
"74.json","true","Health insurance premiums have almost doubled ... since 2000.","health-care","democrat"
"10215.json","false","I dont know who (Jonathan Gruber) is.","health-care","democrat"
"1190.json","false","Every other democracy in the world has a health care system that covers everybody, and we don't.","health-care","democrat"
"4361.json","true","The health insurance plan that (members of Congress) have is no different than any other federal employees in the United States government.","health-care","republican"
"1614.json","true","The health care bill will subsidize families of four that make more than $80,000 a year.","health-care","republican"
"11827.json","false","Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.","health-care","republican"
"7072.json","false","We have more hospitals that are childrens hospitals than any other state in the union. ","health-care","republican"
"86.json","true","In New York, when she ran for reelection, she carried 58 of our 62 counties. George Bush had won 40 counties in New York just two years earlier.","elections","democrat"
"5521.json","true","Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.","elections","democrat"
"5495.json","false","Tonight in Ohio, more people came out to vote for Barack Obama in an unopposed race than voted for (Mitt) Romney and (Rick) Santorum combined.","elections","democrat"
"6676.json","false","Says that if Texas, California and New York all voted for Democratic presidential nominees, it would be mathematically impossible for Republicans to elect a president.","elections","democrat"
"1529.json","true","Says Paul Workman voted in the Democrat primary, supporting Democrats with his vote.","elections","republican"
"7127.json","true","Our race was the closest U.S. Senate race in Ohio in 36 years -- when Howard Metzenbaum defeated Robert Taft in 1976.","elections","republican"
"13464.json","false","The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.","elections","republican"
"311.json","false","I won the majority of the Republican vote in both New Hampshire and South Carolina.","elections","republican"
"3734.json","true","The Obama administration increased the deportation of illegal immigrants convicted of crimes by 70 percent.","immigration","democrat"
"7489.json","true","Says Jeb Bush flip-flop-flip(ped) on immigration.","immigration","democrat"
"12872.json","false","Donald Trump says all Mexicans are rapists.","immigration","democrat"
"6282.json","false","Mitt Romney says the Arizona immigration law should be a model for the nation.","immigration","democrat"
"11224.json","true","There are actually only 30 countries that practice birthright citizenship.","immigration","republican"
"6120.json","true","A million people a year come into the U.S. legally. No other country even comes close to that figure.","immigration","republican"
"2347.json","false","Close to 30% of our federal prison population consists of illegal immigrants.","immigration","republican"
"4092.json","false","I sponsored and was the co-sponsor of the only legislation that ever passed that had E-Verify provisions in it back in 2010 when I served in the Legislature.","immigration","republican"
